R;1;2;3;4;5;6;7;8;9;10
1;0.0081;0.0253;0.0423;0.0586;0.0710;0.0764;0.0937;0.0976;0.0983;0.1097
2;0.0279;0.3548;0.5099;0.5802;0.6348;0.5891;0.5827;0.7315;0.6441;0.6441
3;0.0784;0.7835;0.8953;0.9167;0.9136;0.8916;0.8721;0.8916;0.9157;0.8588
4;0.1295;0.9259;0.8889;0.9500;0.9000;0.9250;0.9125;0.9125;0.9125;0.8519
5;0.2018;0.9125;0.9000;0.9500;0.8765;0.8875;0.9000;0.8875;0.8642;0.8375
6;0.2679;0.9125;0.8750;0.9125;0.8750;0.8625;0.8875;0.8625;0.8625;0.8125
7;0.3125;0.9125;0.8750;0.9000;0.8500;0.8250;0.8375;0.8500;0.8395;0.7875
8;0.3226;0.9000;0.8375;0.8875;0.8250;0.8125;0.8375;0.8375;0.8500;0.7875
9;0.3594;0.8625;0.8125;0.8659;0.7901;0.7875;0.7875;0.7875;0.8375;0.7875
10;0.3467;0.8625;0.7750;0.8750;0.7375;0.7750;0.7750;0.7750;0.7750;0.7625
11;0.4011;0.8625;0.7750;0.8625;0.7160;0.7375;0.7531;0.7500;0.7375;0.7375
12;0.4046;0.8500;0.7500;0.8395;0.7000;0.6951;0.7625;0.7375;0.7037;0.7250
13;0.4494;0.8375;0.7500;0.8375;0.7000;0.7000;0.7375;0.7250;0.6875;0.7000
14;0.4375;0.8375;0.7125;0.8375;0.6875;0.6875;0.7375;0.7250;0.6750;0.6875
15;0.5188;0.8125;0.7125;0.8000;0.6750;0.6625;0.6875;0.7250;0.6625;0.6750
16;0.5188;0.8000;0.6914;0.8000;0.6667;0.6500;0.6750;0.7250;0.6625;0.6750
17;0.6481;0.7875;0.6875;0.8000;0.6500;0.6375;0.6625;0.7125;0.6500;0.6500
18;0.6273;0.7875;0.6750;0.7750;0.6250;0.6296;0.6296;0.6750;0.6375;0.6420
19;0.7609;0.7750;0.6750;0.7500;0.6250;0.6250;0.6250;0.6625;0.6250;0.6375
